theta_deg,initial_intensity,mrev_intensity,mrev_norm_intensity,mrevGss_intensity,mrevGss_norm_intensity,pfpd_intensity,pfpd_norm_intensity,fivePps_intensity,fivePps_norm_intensity,spgd_intensity,spgd_norm_intensity,hillClimb_intensity,hillClimb_norm_intensity
-2.8,176.033762832652,8.12176763251207,0.000584841178168331,17.7009742378763,0.00155894192220017,42.7152273873031,0.00319513698536136,2.01321138850859,0.000131043668749588,56.6686186372848,0.00472650111919994,13.038877132383,0.00098822958683705
-2.78666666666667,166.500583768958,6.55258729951176,0.000471845914546559,16.9418267399514,0.00149208306778096,51.7137218246568,0.00386823236955925,1.66337336187546,0.000108272061783822,62.2431493653307,0.00519145026316563,15.223392608214,0.00115379620765888
-2.77333333333333,147.174529504534,5.27577119120346,0.000379903535636567,15.4298468800308,0.00135892153907206,60.0979605479265,0.00449538088022786,1.33218939199464,8.67146820213389e-05,65.8490505547174,0.00549220395043033,17.4164362306343,0.00132000918527161
-2.76,120.539616407004,4.37204691945315,0.000314827164119362,13.0145185612346,0.00114620123783623,67.3363585974665,0.00503681948976988,1.05278785526224,6.8527917016592e-05,67.4839777981864,0.00562856664343204,19.3758633121316,0.00146851613073369
-2.74666666666667,90.0562015767647,3.85195517587068,0.000277375825711849,9.8275718934085,0.00086552376226207,73.0467678509864,0.00546396317888189,0.84502716509528,5.50043877852207e-05,67.3615166090508,0.00561835264913631,20.8645583714796,0.00158134582369644
-2.73333333333333,59.6453810961166,3.70278734543245,0.000266634384483085,6.28193846031026,0.000553256396334615,77.0322236471573,0.00576207881578129,0.726078317301285,4.72617863388774e-05,65.8427963615242,0.00549168231337903,21.6885458989502,0.0016437966655568
-2.72,33.1045808507041,3.94337512396319,0.000283958893902139,3.00900724635927,0.000265006178615645,79.2899123582436,0.00593095593861194,0.724792510296275,4.71780907725787e-05,63.3559955373989,0.00528426827786693,21.7310393634052,0.00164701728788457
-2.70666666666667,13.5510649124175,4.66995785905494,0.000336279462780123,0.743172812930257,6.54519484604034e-05,79.9921202830166,0.00598348171569636,0.894123636106635,5.8200168278372e-05,60.3183957366425,0.00503091431930563,20.9743266654253,0.00158966527288461
-2.69333333333333,2.98449828011728,6.0781769324699,0.000437684050953545,0.174264827070506,1.53476718758147e-05,79.4424453110176,0.00594236553909178,1.31621791857634,8.56750691500737e-05,57.0733615399153,0.00476025909368872,19.5038255572904,0.00147821451774816
-2.68,2.03805125669112,8.45166112402813,0.000608596511610276,1.79629493606858,0.000158201432465854,78.0146895273811,0.00583556813710213,2.0967189085318,0.000136479328340272,53.8505682777395,0.00449145889479694,17.4925711479889,0.00132577952708535
